code_commune,commune_labellisee,nom,code_departement,departement,fleurs,geo_point,url,adresse_ligne3,adresse_ligne4,adresse_ligne5,adresses_codepostal,adresses_commune,
78073,Bois-d'Arcy,Bois-d'Arcy,78,Yvelines,2,48.8008003235,2.03104996681,http://www.boisdarcy.fr,,2 avenue Paul-Vaillant-Couturier,,78390,Bois-d'Arcy
78113,Brueil-en-Vexin,Brueil-en-Vexin,78,Yvelines,1,48.9922981262,1.79463005066,http://www.brueil-en-vexin.fr,,14 rue de l'Église,,78440,Brueil-en-Vexin
78133,Chambourcy,Chambourcy,78,Yvelines,2,48.9059133,2.0395834,http://www.chambourcy.fr,,Place Charles-de-Gaulle,,78240,Chambourcy
78190,Croissy-sur-Seine,Croissy-sur-Seine,78,Yvelines,1,48.8801806,2.1476333,http://www.croissy.com,,8 avenue de Verdun,CS 40021,78290,Croissy-sur-Seine
78343,Les Loges-en-Josas,Les Loges-en-Josas,78,Yvelines,1,48.7644004822,2.14093995094,http://www.mairieleslogesenjosas.fr,,2 Grande rue,,78350,Les Loges-en-Josas
78372,Marly-le-Roi,Marly-le-Roi,78,Yvelines,2,48.867893219,2.0967810154,http://www.marlyleroi.fr,,Place du Général-de-Gaulle,,78160,Marly-le-Roi
78501,Porcheville,Porcheville,78,Yvelines,1,48.9722324,1.7773868,http://www.mairie-porcheville.fr,,17 boulevard de la République,,78440,Porcheville
78575,Saint-Rémy-lès-Chevreuse,Saint-Rémy-lès-Chevreuse,78,Yvelines,2,48.7061004639,2.07190990448,http://www.ville-st-remy-chevreuse.fr,,2 rue Victor-Hugo,BP 38,78470,Saint-Rémy-lès-Chevreuse
78642,Verneuil-sur-Seine,Verneuil-sur-Seine,78,Yvelines,2,48.9789009094,1.97517001629,http://www.ville-verneuil-sur-seine.fr,,6 boulevard André-Malraux,,78480,Verneuil-sur-Seine
78672,Villennes-sur-Seine,Villennes-sur-Seine,78,Yvelines,1,48.9408988953,1.99821996689,http://www.ville-villennes-sur-seine.fr,,36 avenue Foch,,78670,Villennes-sur-Seine
78688,Voisins-le-Bretonneux,Voisins-le-Bretonneux,78,Yvelines,2,48.758354187,2.0505259037,http://www.voisins78.fr,,1 place Charles-de-Gaulle,,78960,Voisins-le-Bretonneux
91114,Brunoy,Brunoy,91,Essonne,2,48.6978398,2.5041465,http://www.brunoy.fr,,Place de la Mairie,BP 83,91805,Brunoy
91338,Limours,Limours,91,Essonne,2,48.6458376,2.0767166,http://www.limours.fr,,Place du Général-de-Gaulle,,91470,Limours
91477,Palaiseau,Palaiseau,91,Essonne,2,48.7147407532,2.24559688568,http://www.ville-palaiseau.fr,,91 rue de Paris,CS 95315,91125,Palaiseau Cedex
91659,Villabé,Villabé,91,Essonne,1,48.5892274,2.4536764,http://www.villabe.fr,,34 bis avenue du 8-Mai-1945,,91100,Villabé
92023,Clamart,Clamart,92,Hauts-de-Seine,3,48.8013433,2.2628095,http://www.clamart.fr,Centre administratif,1 avenue Jean-Jaurès,,92140,Clamart
92046,Malakoff,Malakoff,92,Hauts-de-Seine,3,48.8211267,2.3014858,http://www.ville-malakoff.fr,Hôtel de Ville,Place du 11-Novembre-1918,CS 80031,92245,Malakoff Cedex
93039,L'Île-Saint-Denis,L'Île-Saint-Denis,93,Seine-Saint-Denis,1,48.935798645,2.33945989609,http://www.lile-saint-denis.fr,,1 rue Méchin,,93450,L'Île-Saint-Denis
93050,Neuilly-sur-Marne,Neuilly-sur-Marne,93,Seine-Saint-Denis,3,48.8567008972,2.52872991562,https://www.neuillysurmarne.fr,,1 place François-Mitterrand,,93330,Neuilly-sur-Marne
